post_id,slug,status,effective_title,effective_description_len,score,issues
1,real-estate-agent-toronto,published,"Real Estate Agent Toronto, Find the Best Real Estate Agents and Brokers Today",155,68,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword
2,niagara-falls-real-estate-agent-home-condo-and-investment-deals,published,"Niagara Falls Real Estate Agent | Home, Condo and Investment Deals",155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
3,top-real-estate-agents-brantford,published,Top Real Estate Agents Brantford &#8211; Experienced Realtors in Brantford,155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
4,homes-for-sale-in-hespeler-cambridge-ontario,published,Homes for Sale in Hespeler Cambridge Ontario | Detached &#038; Townhomes,155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
5,homes-for-sale-in-hamilton-updated-listings-in-top-neighborhoods,published,Homes for Sale in Hamilton &#8211; Updated Listings in Top Neighborhoods,155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
6,niagara-falls-ontario-house-for-sale-move-in-ready-homes,published,Niagara Falls Ontario House for Sale Move-In Ready Homes,155,68,missing_seo_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
7,new-homes-for-sale-in-brampton,published,New Homes for Sale in Brampton | Modern &#038; Pre-Construction Options,155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
8,house-for-sale-in-brantford-ontario,published,House for Sale in Brantford Ontario | Move-In Ready Homes Available,155,60,missing_seo_title|long_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
9,secondary-suite-loan-program,published,The Canada Secondary Suite Loan Program,155,68,missing_seo_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
10,pre-qualification-vs-pre-approval-which-one-do-you-need,published,Pre-Qualification vs Pre-Approval: Which One Do You Need?,155,68,missing_seo_title|missing_seo_description|missing_keywords_and_focus_keyword|missing_social_image
