wp_id,title,slug,content_type,status,price,bedrooms,bathrooms,garages,area,lot_size,latitude,longitude,address
100001,Skyline Condos Tower 1 - Suite 1802,skyline-condos-tower-1-suite-1802,property,publish,789000,2,2.0,1,825.50,0,43.6532,-79.3832,"88 Harbour Street, Toronto, ON"
100002,Emerald Park Residences - Unit 405,emerald-park-residences-unit-405,property,publish,625000,1,1.0,1,610.00,0,43.7615,-79.4111,"4750 Yonge Street, Toronto, ON"
100003,The Well Tower A - Suite 2210,the-well-tower-a-suite-2210,property,publish,1150000,3,2.5,1,1250.75,0,43.6440,-79.4025,"470 Front Street West, Toronto, ON"
100004,Harbourfront Waterworks - PH2,harbourfront-waterworks-ph2,property,publish,2250000,3,3.0,2,1875.00,0,43.6386,-79.4111,"505 Richmond Street West, Toronto, ON"
100005,Universe Condos - Suite 1105,universe-condos-suite-1105,property,publish,715000,2,2.0,1,780.25,0,43.6591,-79.3812,"55 Charles Street East, Toronto, ON"
100006,Nobu Residences - Suite 3401,nobu-residences-suite-3401,property,publish,1699000,2,2.5,1,1085.00,0,43.6465,-79.3894,"15 Mercer Street, Toronto, ON"
100007,Wellesley on the Park - Unit 812,wellesley-on-the-park-unit-812,property,publish,895000,2,2.0,1,905.50,0,43.6656,-79.3843,"11 Wellesley Street West, Toronto, ON"
100008,The One - Sub-Penthouse 7605,the-one-sub-penthouse-7605,property,publish,4950000,4,4.5,2,3125.00,0,43.6685,-79.3862,"1 Bloor Street West, Toronto, ON"
100009,SXSW Tower 2 - Suite 906,sxsw-tower-2-suite-906,property,publish,569000,1,1.0,0,545.00,0,43.6512,-79.3768,"325 Front Street East, Toronto, ON"
100010,Empire Maverick - Unit 1408,empire-maverick-unit-1408,property,publish,875000,2,2.0,1,835.00,0,43.6472,-79.3948,"327 King Street West, Toronto, ON"
100011,Concord Sky - Suite 5501,concord-sky-suite-5501,property,publish,1425000,3,2.5,1,1320.00,0,43.6555,-79.3803,"88 Queen Street East, Toronto, ON"
100012,Mirabella West Tower - Unit 2010,mirabella-west-tower-unit-2010,property,publish,650000,2,1.0,1,720.00,0,43.6360,-79.5013,"1926 Lake Shore Boulevard West, Toronto, ON"
100013,Union Waterloo - Suite 703,union-waterloo-suite-703,property,publish,485000,1,1.0,0,510.50,0,43.4643,-80.5204,"223 King Street North, Waterloo, ON"
100014,Mississauga Square One District - PH1,mississauga-square-one-district-ph1,property,publish,1975000,3,3.0,2,1780.00,0,43.5949,-79.6428,"4085 Parkside Village Drive, Mississauga, ON"
100015,Line 5 South Tower - Suite 1502,line-5-south-tower-suite-1502,property,publish,825000,2,2.0,1,870.25,0,43.7069,-79.3987,"120 Eglinton Avenue East, Toronto, ON"
100016,Brightwater Towns - Model B4,brightwater-towns-model-b4,property,publish,1195000,3,2.5,1,1650.00,2400,43.5121,-79.6199,"70 Mississauga Road South, Mississauga, ON"
100017,Yonge & Rich - Unit 3205,yonge-rich-unit-3205,property,publish,749000,1,1.5,0,615.00,0,43.6494,-79.3792,"25 Richmond Street East, Toronto, ON"
100018,Notting Hill Condos - Suite 1210,notting-hill-condos-suite-1210,property,publish,589000,1,1.0,1,570.00,0,43.7136,-79.4988,"4000 Eglinton Avenue West, Toronto, ON"
100019,Distrikt Trailside - Model A6,distrikt-trailside-model-a6,property,publish,1049000,3,2.5,1,1420.00,1800,43.4525,-79.6877,"2500 Trafalgar Road, Oakville, ON"
100020,Bijou on Bloor - Suite 908,bijou-on-bloor-suite-908,property,publish,895000,2,2.0,1,895.00,0,43.6598,-79.4055,"825 Church Street, Toronto, ON"
100021,Oro at Edge Towers - Unit 4406,oro-at-edge-towers-unit-4406,property,publish,679000,2,2.0,1,745.00,0,43.5843,-79.6414,"3985 Grand Park Drive, Mississauga, ON"
100022,Lakeside Residences Tower 2 - Suite 2705,lakeside-residences-tower-2-suite-2705,property,publish,975000,2,2.5,1,970.00,0,43.6459,-79.3706,"215 Lake Shore Boulevard East, Toronto, ON"
100023,Q Tower - Unit 1809,q-tower-unit-1809,property,publish,995000,2,2.0,1,890.00,0,43.6425,-79.3823,"200 Queens Quay West, Toronto, ON"
100024,55 Mercer - PH3,55-mercer-ph3,property,publish,2895000,3,3.5,2,2140.00,0,43.6455,-79.3936,"55 Mercer Street, Toronto, ON"
100025,The Charlotte - Unit 1101,the-charlotte-unit-1101,property,publish,795000,2,2.0,1,830.00,0,43.6489,-79.3947,"81 Charlotte Street, Toronto, ON"
100026,Untitled Toronto Tower 1 - Suite 3908,untitled-toronto-tower-1-suite-3908,property,publish,1275000,2,2.5,1,1180.00,0,43.7078,-79.3986,"101 Eglinton Avenue East, Toronto, ON"
100027,Verdant Towns - Model C2,verdant-towns-model-c2,property,publish,899000,3,2.5,1,1425.00,1650,43.8563,-79.5085,"9500 Bathurst Street, Vaughan, ON"
100028,Festival Condos Tower B - Unit 2506,festival-condos-tower-b-unit-2506,property,publish,745000,2,2.0,1,780.50,0,43.7745,-79.4032,"7028 Yonge Street, Vaughan, ON"
100029,King Toronto - Suite 907,king-toronto-suite-907,property,publish,1095000,2,2.5,1,975.00,0,43.6453,-79.4008,"485 King Street West, Toronto, ON"
100030,Auberge on the Park Tower 3 - Suite 1712,auberge-on-the-park-tower-3-suite-1712,property,publish,865000,2,2.0,1,860.00,0,43.7267,-79.3502,"825 Eglinton Avenue East, Toronto, ON"
