post_id,title,warning
18312,"Riverland by Empire Communities , Kitchener",Unsupported document metadata in floor_plans was preserved in the source snapshot.
18319,"Wyndfield By Empire Communities, Brantford",Ambiguous unit type association for: Freehold Townhomes & Detached Homes in Brantford
18954,"Ellis Lane By Mattamy Homes, Caledon",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Ellis Lane Pre construction Homes in Caledon'.
18954,"Ellis Lane By Mattamy Homes, Caledon",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Ellis Lane Pre construction Homes in Caledon'.
18954,"Ellis Lane By Mattamy Homes, Caledon",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Ellis Lane Pre construction Homes in Caledon'.
18954,"Ellis Lane By Mattamy Homes, Caledon",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Ellis Lane Pre construction Homes in Caledon'.
19057,"Marquis Series By Treasure Hill, Cambridge",Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Marquis Series by Treasure Hill'.
19147,"Milton Village By Great Gulf, Milton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre - Construction Milton Village Homes'.
19147,"Milton Village By Great Gulf, Milton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre - Construction Milton Village Homes'.
19147,"Milton Village By Great Gulf, Milton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre - Construction Milton Village Homes'.
19147,"Milton Village By Great Gulf, Milton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre - Construction Milton Village Homes'.
19147,"Milton Village By Great Gulf, Milton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre - Construction Milton Village Homes'.
19264,"Vicinity West By Mattamy Homes, Barrie",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Mattamy Homes in Barrie'.
19272,"Meadows By Opus Homes, Whitby",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Meadows By Opus Homes'.
19283,"Meadowlark Enclave By Treasure Hill, Bolton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Treasure Hill in Bolton'.
19358,"Heartwood By Cachet Homes, Woodstock",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Heartwood By Cachet Homes'.
19367,"Festival West By Grandview, Stratford","Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Festival West By Grandview, Stratford'."
19392,"Seaton Whitevale By Mattamy, Pickering",Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Seaton Whitevale by Mattamy'.
19392,"Seaton Whitevale By Mattamy, Pickering",Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Seaton Whitevale by Mattamy'.
19392,"Seaton Whitevale By Mattamy, Pickering",Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Seaton Whitevale by Mattamy'.
19516,"Heights Of Harmony By Minto, Oshawa",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of eights Of Harmony By Minto'.
19951,"Hampton Park By Di Cenzo, Hamilton",Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Mount Hope Preconstruction Townhomes in Hamilton'.
19961,"Juniper Gate By Remington, Georgetown",Ambiguous or unsupported deposits content preserved under 'Deposit Structures Of Juniper Gate By Remington Homes'.
20091,"Willows By Marlin Spring, Courtice",Ambiguous or unsupported deposits content preserved under 'Deposit Structures Of Willows Marlin Spring In Courtice'.
20591,"South Barrie By Regal Crest, Barrie","Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Regal Crest, Barrie'."
20600,"Terra By Great Gulf, Barrie",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Terra In Barrie'.
20611,"Summerlyn Village By Great Gulf, Bradford",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Summerlyn Village In Bradford'.
20621,"Bodhi Towns By Countrywide, Brampton",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Bodhi Towns In Brampton'.
20649,"East Preserve By Remington, Oakville",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of East Preserve In Oakville'.
20680,"Empire Avalon Homes, Caledonia",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Pre Construction Homes in Caledonia'.
20737,"Moffat Creek By Ridgeview, Cambridge",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Moffat Creek Pre construction Homes in Cambridge'.
20774,"Cassette By Caivan, Ottawa",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Cassette Pre construction Homes in Ottawa'.
21472,"Cachet Binbrook By Cachet, Binbrook",Ambiguous or unsupported deposits content preserved under 'Deposit Structure Of Cachet Binbrook In Binbrook'.
21818,"Courtice Glen By Tribute, Courtice",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Hansler Village in Welland'.
21818,"Courtice Glen By Tribute, Courtice",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Hansler Village in Welland'.
21896,"Westfield By Great Gulf, Brampton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Great Gulf in Brampton'.
21896,"Westfield By Great Gulf, Brampton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Great Gulf in Brampton'.
21896,"Westfield By Great Gulf, Brampton",Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Great Gulf in Brampton'.
24422,The Nine by Mattamy Homes in Mississauga,Ambiguous or unsupported deposits content preserved under 'Deposit Structures of The Nine by Mattamy Homes'.
24431,Upper Joshua by Mattamy Homes in Oakville,Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Upper Joshua by Mattamy Homes'.
24452,Scenic Ridge by Liv Communities in Paris,Ambiguous or unsupported deposits content preserved under 'Deposit Structures of Scenic Ridge by Liv Communities'.
24516,Aura Lakeview Village by Caivan in Mississauga,Ambiguous or unsupported deposits content preserved under 'Deposit Structure of Aura Lakeview Village by Caivan'.
