post_id,listing_key,title,slug,publication_status,standard_status,developer,city,province,country,occupancy_year,list_price,featured_image_url,image_count,html_length,section_count,unit_type_count,price_count,deposit_plan_count,incentive_count,amenity_count,document_count,warning_count,audit_file
18264,estate4u-wp-18264,"Avalon By Empire Communities, Caledonia",empire-avalon-townhomes-in-caledonia-on,publish,Pre-Construction,Empire Avalon,Caledonia,Ontario,Canada,2025,564990,https://estate-4u.com/wp-content/uploads/2024/06/WhatsApp-Image-2024-06-20-at-23.36.13.jpeg,4,2323,2,2,1,2,0,3,1,0,listings/18264-empire-avalon-townhomes-in-caledonia-on.html
18312,estate4u-wp-18312,"Riverland by Empire Communities , Kitchener",empire-riverland-kitchener,publish,Pre-Construction,Empire Community,Kitchener,Ontario,Canada,2025,749990,https://estate-4u.com/wp-content/uploads/2024/06/WhatsApp-Image-2024-06-20-at-23.45.12-2.jpeg,3,2034,1,3,1,3,0,5,0,1,listings/18312-empire-riverland-kitchener.html
18319,estate4u-wp-18319,"Wyndfield By Empire Communities, Brantford",empire-wyndfield-brantford,publish,Pre-Construction,Empire Communities,Brantford,Ontario,Canada,2026,564990,https://estate-4u.com/wp-content/uploads/2024/06/2-2.png,4,2043,2,3,1,3,0,9,0,1,listings/18319-empire-wyndfield-brantford.html
18943,estate4u-wp-18943,"Legacy By Empire Communities, Thorold",empire-legacy-thorold,publish,Pre-Construction,Empire Communities,Thorold,Ontario,Canada,,560000,https://estate-4u.com/wp-content/uploads/2024/06/Throld-1.jpg,5,2387,2,3,1,2,0,2,0,0,listings/18943-empire-legacy-thorold.html
18954,estate4u-wp-18954,"Ellis Lane By Mattamy Homes, Caledon",ellis-lane-mattamy-homes-caledon,publish,Pre-Construction,Mattamy Homes,Caledon,Ontario,Canada,,800000,https://estate-4u.com/wp-content/uploads/2024/06/D36ERobinsonFRElevation-1.jpg,6,2022,3,3,1,2,0,2,0,4,listings/18954-ellis-lane-mattamy-homes-caledon.html
18962,estate4u-wp-18962,"Oakbrook Towns By Fernbook Homes, Oakbrook",oakbrook-towns-by-fernbook-homes-oakville,publish,Pre-Construction,Fernbrook Homes &amp; Crystal Homes,Oakville,Ontario,Canada,2026,900000,https://estate-4u.com/wp-content/uploads/2024/06/4-1.png,5,2149,1,2,1,3,0,7,0,0,listings/18962-oakbrook-towns-by-fernbook-homes-oakville.html
18991,estate4u-wp-18991,"Canals By Empire Communities, Welland, Niagara Region",empire-canals-welland-niagara-region,publish,Pre-Construction,Empire Communities,Welland,Ontario,Canada,,589990,https://estate-4u.com/wp-content/uploads/2024/06/BB-06-London-B-1024x662-1.jpg,6,2115,2,3,1,3,0,6,0,0,listings/18991-empire-canals-welland-niagara-region.html
19057,estate4u-wp-19057,"Marquis Series By Treasure Hill, Cambridge",marquis-series-hazel-glen-cambridge,publish,Pre-Construction,Treasure Hill,Cambridge,Ontario,Canada,2026,642105,https://estate-4u.com/wp-content/uploads/2024/07/1-1.png,9,2046,3,2,1,2,0,5,0,1,listings/19057-marquis-series-hazel-glen-cambridge.html
19063,estate4u-wp-19063,"Mount Hope By Cachet Homes, Hamilton",mount-hope-cachet-homes,publish,Pre-Construction,Cachet Homes,Hamilton,Ontario,Canada,2026,639990,https://estate-4u.com/wp-content/uploads/2024/07/MountHope_Towns1.jpeg.jpg,4,2189,2,2,1,3,1,12,0,0,listings/19063-mount-hope-cachet-homes.html
19110,estate4u-wp-19110,"Honey Stone By Deco Homes, Brampton",honey-stone-deco-homes-brampton-on,publish,Pre-Construction,Deco Homes,Brampton,Ontario,Canada,2025,800000,https://estate-4u.com/wp-content/uploads/2024/07/Honeystone-Towns-Exteriors-From-the-Park-6-v14.jpg,5,1118,1,3,1,2,0,3,0,0,listings/19110-honey-stone-deco-homes-brampton-on.html
